feature,importance
num__regularity,1611
cat__1,449
cat__0,429
num__on_net,418
num__engagement_score,399
num__log_on_net,328
num__data_volume,317
num__tigo,253
num__orange,212
num__log_avg_revenue_per_tx,167
num__log_data_volume,133
num__log_avg_recharge_amount,131
num__region_tower_count,120
num__frequence,118
num__montant,106
num__frequence_rech,103
num__log_orange,102
num__region_avg_range,88
num__avg_revenue_per_tx,73
num__avg_recharge_amount,72
num__region_coverage_index,69
num__log_tigo,61
num__log_montant,40
num__revenue,35
num__log_freq_top_pack,35
num__freq_top_pack,35
num__arr_network_quality_score,34
num__is_data_user,26
num__is_loyal,25
num__region_avg_samples,24
num__arpu_segment,19
num__network_quality_delta,18
num__log_revenue,15
num__region_network_quality_score,12
num__no_data_flag,0
