feature,importance
num__regularity,2202
num__on_net,948
num__engagement_score,661
num__data_volume,594
cat__1,587
num__orange,568
num__log_on_net,514
num__tigo,435
cat__0,409
num__frequence,384
num__log_data_volume,341
num__avg_revenue_per_tx,328
num__avg_recharge_amount,312
num__log_avg_recharge_amount,303
num__log_avg_revenue_per_tx,303
num__log_tigo,299
num__region_tower_count,289
num__frequence_rech,289
num__log_orange,254
num__freq_top_pack,229
num__revenue,215
num__montant,213
num__log_freq_top_pack,174
num__region_coverage_index,167
num__region_avg_range,120
num__region_avg_samples,111
num__arpu_segment,110
num__log_montant,102
num__log_revenue,78
num__arr_network_quality_score,68
num__region_network_quality_score,61
num__is_data_user,53
num__network_quality_delta,44
num__is_loyal,35
num__no_data_flag,0
